,date,location,Season,count_all,geography,topography,altitude,precipitation,latitude,min_temp_mean,max_temp_mean,avg_temp,wind_dir_EN,wind_dir_MN,wind_spe_MN,wind_spe_EN,wind_dir_LN,wind_spe_LN,wind_quadrant,count_EN,count_LN,count_MN
0,05/09/2024,Hatzeva,fall,45,North,Valley,-166,3.749806452,30.818349,23.75,35.38333333,29.56666667,346.2765041,345.8793373,2.56,4.6,311.9495215,1.84,N,1,44,0
1,05/09/2024,Mitzpe_ramon,fall,32,North,Mountain,758,3.805032258,30.660835,23.75,35.38333333,29.56666667,346.2765041,345.8793373,2.56,4.6,311.9495215,1.84,N,19,6,7
2,05/09/2024,Shita,fall,33,Center,Valley,237,3.728,30.14119,23.75,35.38333333,29.56666667,346.2765041,345.8793373,2.56,4.6,311.9495215,1.84,N,7,13,13
3,05/09/2024,Neot_smadar,fall,0,Center,Mountain,417,3.760129032,30.054879,23.75,35.38333333,29.56666667,346.2765041,345.8793373,2.56,4.6,311.9495215,1.84,N,0,0,0
4,05/09/2024,Timna,fall,13,South,Valley,123,3.720387097,29.803654,23.75,35.38333333,29.56666667,346.2765041,345.8793373,2.56,4.6,311.9495215,1.84,N,1,11,1
5,06/09/2024,Hatzeva,fall,5,North,Valley,-166,3.749806452,30.818349,23.18333333,36.08333333,29.63333333,350.1848431,343.7672217,1.48,3.85,292.2994817,1.45,N,1,0,4
6,06/09/2024,Mitzpe_ramon,fall,28,North,Mountain,758,3.805032258,30.660835,23.18333333,36.08333333,29.63333333,350.1848431,343.7672217,1.48,3.85,292.2994817,1.45,N,16,6,6
7,06/09/2024,Shita,fall,12,Center,Valley,237,3.728,30.14119,23.18333333,36.08333333,29.63333333,350.1848431,343.7672217,1.48,3.85,292.2994817,1.45,N,1,1,10
8,06/09/2024,Timna,fall,16,South,Valley,123,3.720387097,29.803654,23.18333333,36.08333333,29.63333333,350.1848431,343.7672217,1.48,3.85,292.2994817,1.45,N,6,2,8
9,07/09/2024,Hatzeva,fall,20,North,Valley,-166,3.749806452,30.818349,24.36666667,37.1,30.73333333,344.7270597,341.0863729,3.18,3.83,312.8034367,1.43,N,6,2,12
10,07/09/2024,Mitzpe_ramon,fall,15,North,Mountain,758,3.805032258,30.660835,24.36666667,37.1,30.73333333,344.7270597,341.0863729,3.18,3.83,312.8034367,1.43,N,7,3,5
11,07/09/2024,Shita,fall,68,Center,Valley,237,3.728,30.14119,24.36666667,37.1,30.73333333,344.7270597,341.0863729,3.18,3.83,312.8034367,1.43,N,1,39,28
12,07/09/2024,Timna,fall,24,South,Valley,123,3.720387097,29.803654,24.36666667,37.1,30.73333333,344.7270597,341.0863729,3.18,3.83,312.8034367,1.43,N,1,2,21
13,08/09/2024,Hatzeva,fall,32,North,Valley,-166,3.749806452,30.818349,24.55,37.56666667,31.05833333,0.613411759,331.6613132,2.76,4.25,307.2788396,1.24,N,1,5,26
14,08/09/2024,Mitzpe_ramon,fall,13,North,Mountain,758,3.805032258,30.660835,24.55,37.56666667,31.05833333,0.613411759,331.6613132,2.76,4.25,307.2788396,1.24,N,11,2,0
15,08/09/2024,Shita,fall,11,Center,Valley,237,3.728,30.14119,24.55,37.56666667,31.05833333,0.613411759,331.6613132,2.76,4.25,307.2788396,1.24,N,11,0,0
16,08/09/2024,Timna,fall,49,South,Valley,123,3.720387097,29.803654,24.55,37.56666667,31.05833333,0.613411759,331.6613132,2.76,4.25,307.2788396,1.24,N,0,3,46
17,09/09/2024,Hatzeva,fall,13,North,Valley,-166,3.749806452,30.818349,24.85,37.86666667,31.35833333,350.1479752,344.2815143,2.68,4.7,303.9390879,1.88,N,1,1,11
18,09/09/2024,Mitzpe_ramon,fall,11,North,Mountain,758,3.805032258,30.660835,24.85,37.86666667,31.35833333,350.1479752,344.2815143,2.68,4.7,303.9390879,1.88,N,2,1,8
19,09/09/2024,Shita,fall,0,Center,Valley,237,3.728,30.14119,24.85,37.86666667,31.35833333,350.1479752,344.2815143,2.68,4.7,303.9390879,1.88,N,0,0,0
20,09/09/2024,Timna,fall,4,South,Valley,123,3.720387097,29.803654,24.85,37.86666667,31.35833333,350.1479752,344.2815143,2.68,4.7,303.9390879,1.88,N,0,0,4
21,10/09/2024,Hatzeva,fall,13,North,Valley,-166,3.749806452,30.818349,24.95,37.51666667,31.23333333,357.6899086,338.5970785,2.96,3.13,325.2216963,1.06,N,2,2,9
22,10/09/2024,Mitzpe_ramon,fall,3,North,Mountain,758,3.805032258,30.660835,24.95,37.51666667,31.23333333,357.6899086,338.5970785,2.96,3.13,325.2216963,1.06,N,2,0,1
23,10/09/2024,Shita,fall,2,Center,Valley,237,3.728,30.14119,24.95,37.51666667,31.23333333,357.6899086,338.5970785,2.96,3.13,325.2216963,1.06,N,0,0,2
24,10/09/2024,Timna,fall,19,South,Valley,123,3.720387097,29.803654,24.95,37.51666667,31.23333333,357.6899086,338.5970785,2.96,3.13,325.2216963,1.06,N,1,5,13
25,11/09/2024,Hatzeva,fall,4,North,Valley,-166,3.749806452,30.818349,24.7,38.96666667,31.83333333,351.3379398,341.0460138,1.2,3.56,311.6629469,1.42,N,0,2,2
